angle_deg,epsilon,ridge,budget,static,constructive,best_of_static_constructive,gain,epsilon_threshold
15,0.0,0.05,12.5,3.045914263258476e-12,2.0959910822153794e-12,2.0959910822153794e-12,1.4532095527997502,2.2400893886693385e-11
15,0.0,0.05,12.75,1.8172414240547142e-12,1.2398947683495137e-12,1.2398947683495137e-12,1.4656416580204912,1.3703063310574053e-11
15,0.0,0.05,13.0,1.0841954526217006e-12,7.334664014675044e-13,7.334664014675044e-13,1.478180119024491,8.382430854909582e-12
15,0.0,0.05,13.25,6.468484395776014e-13,4.3388598437092623e-13,4.3388598437092623e-13,1.4908258456779626,5.1276963000725e-12
15,0.0,0.05,13.5,3.8592017958774147e-13,2.566675815781975e-13,2.566675815781975e-13,1.5035797556309825,3.1367117487603306e-12
15,0.0,0.05,13.75,2.302461842688988e-13,1.5183308474163986e-13,1.5183308474163986e-13,1.516442774384036,1.9187877009543972e-12
15,0.0,0.05,14.0,1.37368575613276e-13,8.981767576727827e-14,8.981767576727827e-14,1.5294158353552179,1.1737598275609547e-12
15,0.0,0.05,14.25,8.195630093040951e-14,5.313212791509276e-14,5.313212791509276e-14,1.5424998799479464,7.180117592532666e-13
15,0.0,0.05,14.5,4.889644689266669e-14,3.143059528839692e-14,3.143059528839692e-14,1.5556958576192654,4.3922178483244324e-13
15,0.0,0.05,14.75,2.917240641152783e-14,1.8592937248093543e-14,1.8592937248093543e-14,1.5690047259487778,2.6868052477583867e-13
15,0.0,0.05,15.0,1.7404726721912004e-14,1.0998751768445306e-14,1.0998751768445306e-14,1.5824274507080902,1.6435711270869185e-13
15,0.0,0.05,15.25,1.0383939809118198e-14,6.506370609962814e-15,6.506370609962814e-15,1.5959650059309405,1.0054044862564695e-13
15,0.0,0.05,15.5,6.195225451235605e-15,3.8488784368820894e-15,3.8488784368820894e-15,1.6096183739838381,6.150255162831059e-14
15,0.0,0.05,15.75,3.696171115893287e-15,2.276824686133362e-15,2.276824686133362e-15,1.6233885456373642,3.7622309314304136e-14
15,0.0,0.05,16.0,2.205195117675527e-15,1.3468678568049803e-15,1.3468678568049803e-15,1.637276520138106,2.3014299743128443e-14
15,1e-06,0.0,1.0,0.07001357658015522,0.07129081383986416,0.07001357658015522,0.9820841256970652,0.0
15,1e-06,0.0,1.25,0.042828852666764235,0.043240251087150926,0.042828852666764235,0.990485753203479,0.0
15,1e-06,0.0,1.5,0.02619942575089225,0.02622672475543714,0.02619942575089225,0.9989591149943635,0.0
15,1e-06,0.0,1.75,0.016026879709770576,0.015907499405424522,0.015907499405424522,1.007504655590642,0.020216775062906964
15,1e-06,0.0,2.0,0.009804133536284588,0.009648572846158037,0.009648572846158037,1.0161226631758802,0.017346243910452957
15,1e-06,0.0,2.25,0.005997556923474859,0.005852341991073214,0.005852341991073214,1.0248131316698763,0.011745322384753525
